prediction_num,city,weather,visibility,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_degree
0,Seoul,Clouds,10000,296.03,295.48,296.03,1014,61,2.02,131
1,Seoul,Clouds,10000,295.2,293.55,295.2,1014,59,0.72,39
2,Seoul,Clouds,10000,293.4,292.08,293.4,1014,63,0.36,18
3,Seoul,Clouds,10000,290.76,290.76,290.76,1014,68,1.12,88
4,Seoul,Clouds,10000,290.34,290.34,290.34,1015,70,1.46,66
5,Seoul,Clouds,10000,296.28,296.28,296.28,1014,48,1.02,88
6,Seoul,Clouds,10000,301.19,301.19,301.19,1013,32,2.37,201
7,Seoul,Clouds,10000,302.45,302.45,302.45,1011,30,3.9,233
8,Seoul,Clouds,10000,299.66,299.66,299.66,1010,36,4.32,254
9,Seoul,Clouds,10000,295.92,295.92,295.92,1012,49,2.12,278
10,Seoul,Clouds,10000,294.95,294.95,294.95,1011,55,1.5,225
11,Seoul,Clouds,10000,293.15,293.15,293.15,1010,67,1.26,269
12,Seoul,Clouds,10000,292.45,292.45,292.45,1008,73,0.41,148
13,Seoul,Rain,10000,292.41,292.41,292.41,1007,77,0.97,234
14,Seoul,Rain,6620,290.68,290.68,290.68,1006,92,2.18,255
15,Seoul,Rain,9948,290.74,290.74,290.74,1004,91,0.7,325
16,Seoul,Rain,10000,290.71,290.71,290.71,1003,91,1.58,308
17,Seoul,Clouds,10000,289.69,289.69,289.69,1003,95,1.35,289
18,Seoul,Rain,10000,289.21,289.21,289.21,1003,85,3.8,320
19,Seoul,Clouds,10000,287.75,287.75,287.75,1002,88,1.18,308
20,Seoul,Clouds,10000,287.86,287.86,287.86,1003,83,0.62,187
21,Seoul,Clouds,10000,292.7,292.7,292.7,1002,58,1.57,211
22,Seoul,Clear,10000,296.43,296.43,296.43,1002,35,5.36,232
23,Seoul,Clear,10000,296.62,296.62,296.62,1001,30,6.88,237
24,Seoul,Clear,10000,294.48,294.48,294.48,1000,38,6.93,225
25,Seoul,Clear,10000,290.6,290.6,290.6,1001,66,5.0,240
26,Seoul,Clear,10000,289.34,289.34,289.34,1002,79,2.0,221
27,Seoul,Clear,10000,288.31,288.31,288.31,1001,86,1.65,192
28,Seoul,Clear,10000,288.03,288.03,288.03,1001,88,1.69,159
29,Seoul,Clear,10000,292.98,292.98,292.98,1002,56,2.93,200
30,Seoul,Clear,10000,297.67,297.67,297.67,1001,35,5.24,229
31,Seoul,Clear,10000,298.83,298.83,298.83,1000,31,5.68,235
32,Seoul,Clear,10000,296.69,296.69,296.69,1000,40,4.37,237
33,Seoul,Clouds,10000,293.77,293.77,293.77,1001,61,1.8,224
34,Seoul,Clouds,10000,291.97,291.97,291.97,1002,83,2.16,204
35,Seoul,Rain,10000,291.56,291.56,291.56,1002,84,2.95,194
36,Seoul,Rain,10000,290.79,290.79,290.79,1003,89,2.16,174
37,Seoul,Rain,10000,291.77,291.77,291.77,1004,84,2.28,181
38,Seoul,Clouds,10000,296.91,296.91,296.91,1005,58,3.27,207
39,Seoul,Clouds,10000,298.92,298.92,298.92,1004,47,4.3,242
0,Washington,Clouds,10000,290.9,288.9,290.9,1019,56,2.15,296
1,Washington,Clouds,10000,290.01,288.22,290.01,1019,60,1.77,295
2,Washington,Clouds,10000,293.29,293.29,294.48,1018,50,1.13,352
3,Washington,Clouds,10000,301.6,301.6,301.6,1015,29,1.69,89
4,Washington,Clear,10000,305.14,305.14,305.14,1012,24,2.9,99
5,Washington,Clear,10000,306.1,306.1,306.1,1010,23,3.37,104
6,Washington,Clear,10000,299.71,299.71,299.71,1010,42,0.7,65
7,Washington,Clear,10000,293.11,293.11,293.11,1011,55,2.43,283
8,Washington,Clear,10000,291.22,291.22,291.22,1011,60,2.1,293
9,Washington,Clear,10000,290.13,290.13,290.13,1011,54,2.06,294
10,Washington,Clear,10000,297.52,297.52,297.52,1011,35,1.42,350
11,Washington,Clear,10000,304.43,304.43,304.43,1009,20,1.7,77
12,Washington,Clear,10000,308.42,308.42,308.42,1006,15,1.62,117
13,Washington,Clear,10000,306.93,306.93,306.93,1005,17,3.64,340
14,Washington,Clear,10000,299.49,299.49,299.49,1006,35,2.71,325
15,Washington,Clear,10000,291.53,291.53,291.53,1009,58,3.01,285
16,Washington,Clear,10000,289.25,289.25,289.25,1009,67,2.79,286
17,Washington,Clear,10000,287.94,287.94,287.94,1009,66,2.65,289
18,Washington,Clear,10000,296.28,296.28,296.28,1009,37,2.24,318
19,Washington,Clear,10000,302.95,302.95,302.95,1007,18,2.58,354
20,Washington,Clear,10000,306.55,306.55,306.55,1006,16,1.8,329
21,Washington,Clear,10000,304.42,304.42,304.42,1004,20,3.48,340
22,Washington,Clear,10000,297.04,297.04,297.04,1006,42,2.91,327
23,Washington,Clouds,10000,289.6,289.6,289.6,1009,69,3.04,282
24,Washington,Clouds,10000,287.31,287.31,287.31,1009,79,2.68,282
25,Washington,Clouds,10000,285.73,285.73,285.73,1009,85,2.61,283
26,Washington,Clear,10000,292.89,292.89,292.89,1009,50,1.95,305
27,Washington,Clear,10000,299.76,299.76,299.76,1006,18,2.06,338
28,Washington,Clouds,10000,301.46,301.46,301.46,1005,10,2.67,277
29,Washington,Clouds,10000,298.06,298.06,298.06,1005,14,3.71,284
30,Washington,Clear,10000,291.07,291.07,291.07,1007,35,3.09,319
31,Washington,Clear,10000,283.66,283.66,283.66,1009,57,2.96,289
32,Washington,Clear,10000,281.23,281.23,281.23,1010,74,2.49,290
33,Washington,Clear,10000,279.99,279.99,279.99,1012,81,2.24,268
34,Washington,Rain,10000,284.37,284.37,284.37,1013,68,1.92,292
35,Washington,Rain,10000,288.96,288.96,288.96,1011,43,4.02,278
36,Washington,Clear,10000,291.35,291.35,291.35,1010,32,4.9,277
37,Washington,Clear,10000,290.1,290.1,290.1,1010,35,5.48,269
38,Washington,Clear,10000,286.05,286.05,286.05,1011,46,3.82,260
39,Washington,Clear,10000,278.54,278.54,278.54,1015,77,2.44,281
0,Paris,Clear,10000,296.54,296.54,298.21,1012,47,4.31,101
1,Paris,Clear,10000,298.12,298.12,299.32,1011,47,4.26,100
2,Paris,Clear,10000,296.7,296.7,296.7,1011,62,4.43,85
3,Paris,Rain,10000,292.07,292.07,292.07,1012,85,3.36,75
4,Paris,Rain,10000,289.64,289.64,289.64,1012,91,1.99,83
5,Paris,Clouds,10000,288.18,288.18,288.18,1011,89,2.14,85
6,Paris,Clouds,10000,289.69,289.69,289.69,1012,78,2.05,106
7,Paris,Clouds,10000,295.36,295.36,295.36,1013,61,2.13,166
8,Paris,Clouds,10000,297.16,297.16,297.16,1013,61,3.48,214
9,Paris,Rain,10000,297.49,297.49,297.49,1014,61,3.36,197
10,Paris,Rain,10000,296.08,296.08,296.08,1014,71,3.06,207
11,Paris,Rain,10000,292.54,292.54,292.54,1016,87,2.33,203
12,Paris,Rain,10000,290.97,290.97,290.97,1017,93,2.2,214
13,Paris,Rain,10000,289.73,289.73,289.73,1018,96,1.83,237
14,Paris,Rain,10000,291.1,291.1,291.1,1020,86,2.25,262
15,Paris,Clouds,10000,295.54,295.54,295.54,1021,57,2.54,264
16,Paris,Clouds,10000,298.53,298.53,298.53,1021,46,2.8,289
17,Paris,Clouds,10000,299.43,299.43,299.43,1020,45,2.39,331
18,Paris,Clouds,10000,297.41,297.41,297.41,1021,56,2.43,2
19,Paris,Clouds,10000,292.42,292.42,292.42,1023,81,2.92,24
20,Paris,Clouds,10000,290.05,290.05,290.05,1023,82,2.5,20
21,Paris,Clouds,10000,288.44,288.44,288.44,1023,82,2.05,26
22,Paris,Clouds,10000,289.62,289.62,289.62,1023,73,2.55,13
23,Paris,Clouds,10000,294.57,294.57,294.57,1023,63,2.61,48
24,Paris,Clouds,10000,298.66,298.66,298.66,1022,53,3.23,52
25,Paris,Rain,10000,298.89,298.89,298.89,1021,53,3.99,59
26,Paris,Rain,10000,293.8,293.8,293.8,1021,87,2.73,37
27,Paris,Rain,10000,292.6,292.6,292.6,1022,90,2.12,25
28,Paris,Clouds,10000,290.96,290.96,290.96,1021,95,3.44,22
29,Paris,Rain,10000,289.68,289.68,289.68,1020,97,2.84,24
30,Paris,Rain,10000,290.46,290.46,290.46,1019,94,3.98,30
31,Paris,Clouds,10000,296.66,296.66,296.66,1017,68,3.7,70
32,Paris,Rain,10000,299.22,299.22,299.22,1016,58,3.91,85
33,Paris,Rain,10000,296.5,296.5,296.5,1015,79,2.26,128
34,Paris,Rain,10000,293.94,293.94,293.94,1015,89,2.62,181
35,Paris,Rain,10000,291.19,291.19,291.19,1015,96,2.78,208
36,Paris,Rain,10000,290.47,290.47,290.47,1015,96,2.47,234
37,Paris,Rain,10000,289.98,289.98,289.98,1014,97,1.76,209
38,Paris,Rain,10000,290.05,290.05,290.05,1015,97,2.02,203
39,Paris,Rain,10000,290.32,290.32,290.32,1016,96,2.06,205
0,Suzhou,Clouds,10000,298.16,296.05,298.16,1007,78,7.31,131
1,Suzhou,Rain,10000,296.49,295.12,296.49,1008,82,7.74,129
2,Suzhou,Rain,10000,295.05,295.05,295.05,1007,87,7.0,125
3,Suzhou,Rain,10000,294.86,294.86,294.86,1007,90,6.56,123
4,Suzhou,Rain,10000,295.34,295.34,295.34,1007,91,5.58,125
5,Suzhou,Clouds,10000,297.51,297.51,297.51,1007,85,4.89,140
6,Suzhou,Clouds,10000,300.39,300.39,300.39,1004,75,3.1,138
7,Suzhou,Clouds,10000,300.94,300.94,300.94,1004,73,3.24,127
8,Suzhou,Clouds,10000,298.4,298.4,298.4,1004,86,3.14,120
9,Suzhou,Rain,10000,296.92,296.92,296.92,1005,93,2.06,123
10,Suzhou,Rain,10000,296.45,296.45,296.45,1003,95,0.99,160
11,Suzhou,Rain,10000,295.92,295.92,295.92,1003,97,0.68,307
12,Suzhou,Rain,10000,298.74,298.74,298.74,1004,82,3.14,356
13,Suzhou,Clouds,10000,300.97,300.97,300.97,1004,63,4.19,355
14,Suzhou,Clouds,10000,299.96,299.96,299.96,1003,63,1.82,326
15,Suzhou,Clouds,10000,298.53,298.53,298.53,1004,67,3.94,353
16,Suzhou,Clouds,10000,297.13,297.13,297.13,1006,72,1.1,16
17,Suzhou,Clouds,10000,296.52,296.52,296.52,1006,74,1.26,237
18,Suzhou,Clouds,10000,295.66,295.66,295.66,1005,80,1.14,359
19,Suzhou,Clouds,10000,295.01,295.01,295.01,1006,83,1.75,18
20,Suzhou,Clouds,10000,296.6,296.6,296.6,1006,76,0.64,114
21,Suzhou,Clouds,10000,299.52,299.52,299.52,1006,64,2.39,254
22,Suzhou,Clouds,10000,302.7,302.7,302.7,1004,42,2.48,272
23,Suzhou,Clouds,10000,302.63,302.63,302.63,1003,38,2.39,265
24,Suzhou,Clouds,10000,299.03,299.03,299.03,1005,52,0.68,359
25,Suzhou,Clouds,10000,296.84,296.84,296.84,1005,65,2.74,162
26,Suzhou,Clouds,10000,295.44,295.44,295.44,1004,77,2.81,189
27,Suzhou,Clouds,10000,294.46,294.46,294.46,1004,78,2.78,182
28,Suzhou,Clouds,10000,298.7,298.7,298.7,1004,57,3.46,196
29,Suzhou,Clouds,10000,303.21,303.21,303.21,1004,37,4.03,213
30,Suzhou,Clouds,10000,305.2,305.2,305.2,1002,29,3.63,225
31,Suzhou,Clouds,10000,304.81,304.81,304.81,1001,32,3.74,189
32,Suzhou,Clouds,10000,299.14,299.14,299.14,1002,54,4.34,158
33,Suzhou,Clouds,10000,297.33,297.33,297.33,1003,65,4.9,158
34,Suzhou,Clouds,10000,296.53,296.53,296.53,1002,68,3.55,166
35,Suzhou,Clouds,10000,295.43,295.43,295.43,1003,73,2.65,153
36,Suzhou,Clouds,10000,300.04,300.04,300.04,1004,57,3.29,172
37,Suzhou,Clear,10000,305.23,305.23,305.23,1004,37,4.3,183
38,Suzhou,Clear,10000,307.39,307.39,307.39,1002,27,4.55,177
39,Suzhou,Clear,10000,305.35,305.35,305.35,1003,30,5.04,159
